Point_ID,Y,Z
1,164.95701092019448,-24.983259057472747
2,164.95743932593209,-24.964815045696835
3,164.9611416601552,-24.887630326003226
4,164.96217301859295,-24.872530694248827
5,164.98539677472874,-24.61069612999967
6,164.98752155824872,-24.592068220072367
7,165.15863710092603,-23.36612331460217
8,165.161853744468,-23.34679647506639
9,165.46120815863148,-21.799946615691052
10,165.47138636322103,-21.75957672788954
11,165.51351586411033,-21.624717736117127
12,165.5958462627796,-21.503201146529147
13,165.6270005584455,-21.49603811813598
14,172.7581593390909,-20.96892134280956
15,172.7599701278581,-20.96878528051661
16,174.819078896943,-20.811546791370926
17,174.83291473230938,-20.810748182021616
18,180.0205958912384,-20.607815080158417
19,180.02720648048782,-20.607527152982097
20,180.04738027257636,-20.606558925135253
21,180.3249781085842,-20.593235800069504
22,180.35582273277367,-20.591114785289278
23,184.3696161909878,-20.231503560751268
24,184.40491788846032,-20.230019855357867
25,184.74314555400437,-20.231828082821792
26,184.81983416790894,-20.228292576671052
27,185.40511122128999,-20.171055358730126
28,185.42828084705047,-20.169515032553143
29,188.8995930063075,-20.0469950477776
30,188.90580453900068,-20.04682754054466
31,189.93551985432094,-20.02763056073586
32,189.95915854335652,-20.026815279830004
33,195.73768795622505,-19.735849895506785
34,195.74495044882414,-19.735555033683287
35,200.33127057883493,-19.594038923945003
36,200.3338312902017,-19.593955513861065
37,201.50794597424098,-19.55369502385791
38,201.93997561101273,-19.542984763104258
39,202.79746824409995,-19.522703572058223
40,203.12023682094036,-19.51538419226579
41,203.12534720514003,-19.515303297517942
42,206.45869039119634,-19.485354287424936
43,206.46898040529152,-19.485190930993518
44,210.3617705538501,-19.3965625761132
45,210.36830308714872,-19.396471010402387
46,216.46013842694185,-19.3643756311604
47,217.41565210498965,-19.365069243089916
48,220.2243712137529,-19.374374705632775
49,220.24277533188032,-19.37420891287715
50,220.5434207592049,-19.367795328838927
51,220.5547000602319,-19.36772510163589
52,221.27384647620076,-19.37410930473295
53,221.28555018153577,-19.374121502641678
54,222.71918685445146,-19.36438296232831
55,223.62956997274745,-19.365062593015985
56,225.6625858857446,-19.373858677786878
57,225.68436791621113,-19.373635263492933
58,225.9171665266655,-19.367851471463
59,225.9307662905964,-19.36776132908137
60,228.58186994721763,-19.39847106525412
61,228.61788351528324,-19.400632123960555
62,228.66375497252912,-19.40561889539139
63,228.72773285914238,-19.409805968523873
64,228.76091622373497,-19.410550006332983
65,229.0663124906805,-19.352704763852913
66,229.32171729563493,-19.17555697936761
67,229.48289748845505,-18.909786594666222
68,229.52193852904287,-18.60142195808856
69,229.4320789619498,-18.303868248409625
70,229.22888142204377,-18.068658317246022
71,228.94753736663893,-17.936527796811802
72,228.83499975287526,-17.910242531918254
73,228.68480731618726,-17.83606319648621
74,227.76635630844297,-17.08104055725964
75,227.6646227868799,-16.94826730347988
76,227.1636437645851,-15.84090748611095
77,227.13255162617025,-15.725382630145155
78,226.712975167851,-11.583708816586368
79,226.71036336512609,-11.521876010186498
80,226.83793468640047,-7.466907783557628
81,226.83955059127356,-7.442025323781254
82,227.13468502705683,-4.447808757438298
83,227.15453157604117,-4.35926589517793
